i,creation_time,retrieval_time,deletion_time
0,0.023792743682861328,0.004912853240966797,0.005496025085449219
0,0.008466958999633789,0.004396200180053711,0.00487208366394043
0,0.008385896682739258,0.004314899444580078,0.004508018493652344
0,0.00833892822265625,0.004764080047607422,0.0043070316314697266
0,0.007420778274536133,0.004712343215942383,0.004578828811645508
0,0.007990121841430664,0.004229068756103516,0.004253864288330078
0,0.007771968841552734,0.004271984100341797,0.004557132720947266
0,0.007102012634277344,0.0047490596771240234,0.004922151565551758
0,0.007038116455078125,0.004430055618286133,0.004511117935180664
0,0.007909059524536133,0.004127025604248047,0.00462794303894043
1,0.01774120330810547,0.004431009292602539,0.004148960113525391
1,0.007740974426269531,0.003968000411987305,0.004146099090576172
1,0.008895397186279297,0.004495143890380859,0.004345893859863281
1,0.00898885726928711,0.004289150238037109,0.00426793098449707
1,0.0076770782470703125,0.003859996795654297,0.004815816879272461
1,0.007825851440429688,0.003771066665649414,0.005249738693237305
1,0.00789785385131836,0.0037229061126708984,0.005141019821166992
1,0.008176803588867188,0.004051923751831055,0.004311084747314453
1,0.0077571868896484375,0.0042743682861328125,0.00495600700378418
1,0.008391141891479492,0.0049610137939453125,0.004370927810668945
2,0.013080120086669922,0.0037987232208251953,0.00467991828918457
2,0.006052970886230469,0.003635883331298828,0.00504302978515625
2,0.0062961578369140625,0.0038390159606933594,0.004986763000488281
2,0.006281137466430664,0.0037381649017333984,0.004239082336425781
2,0.00851893424987793,0.003887176513671875,0.0044269561767578125
2,0.00642085075378418,0.003531932830810547,0.004045009613037109
2,0.006435871124267578,0.0037009716033935547,0.00392913818359375
2,0.00648808479309082,0.003958940505981445,0.0037670135498046875
2,0.006453990936279297,0.003907203674316406,0.004199981689453125
2,0.006356954574584961,0.004249095916748047,0.004182100296020508
3,0.015455961227416992,0.004086017608642578,0.004367828369140625
3,0.006871938705444336,0.004168033599853516,0.0039670467376708984
3,0.0068318843841552734,0.004390239715576172,0.004252910614013672
3,0.007258892059326172,0.004191875457763672,0.004104137420654297
3,0.0069310665130615234,0.004310131072998047,0.003949880599975586
3,0.007238149642944336,0.004261970520019531,0.004035234451293945
3,0.006982088088989258,0.004064083099365234,0.004332065582275391
3,0.006947994232177734,0.003809690475463867,0.004745006561279297
3,0.007088661193847656,0.003814220428466797,0.004663705825805664
3,0.006871223449707031,0.003503084182739258,0.004742860794067383
4,0.012451648712158203,0.0037970542907714844,0.003928184509277344
4,0.007195949554443359,0.0038297176361083984,0.0038099288940429688
4,0.007546901702880859,0.004151105880737305,0.004019021987915039
4,0.007401943206787109,0.005879878997802734,0.0040988922119140625
4,0.0074481964111328125,0.003988027572631836,0.00397801399230957
4,0.00751805305480957,0.00374603271484375,0.0038950443267822266
