i,creation_time
0,0.008295774459838867
1,0.006803035736083984
2,0.0054090023040771484
3,0.009129047393798828
4,0.0068967342376708984
5,0.005831241607666016
6,0.0070760250091552734
7,0.00820469856262207
8,0.016401052474975586
9,0.004580020904541016
10,0.007236957550048828
11,0.008326053619384766
12,0.00988316535949707
13,0.009453058242797852
14,0.006833314895629883
15,0.011018037796020508
16,0.012505054473876953
17,0.009624004364013672
18,0.028370141983032227
19,0.006686210632324219
