i,creation_time
0,0.012814044952392578
1,0.005710124969482422
2,0.005217790603637695
3,0.006148815155029297
4,0.005065202713012695
5,0.004730939865112305
6,0.00501704216003418
7,0.004647016525268555
8,0.004653215408325195
9,0.005478858947753906
10,0.004734992980957031
11,0.004737138748168945
12,0.004770040512084961
13,0.005237102508544922
14,0.005652189254760742
15,0.004873991012573242
16,0.0045511722564697266
17,0.004986286163330078
18,0.006403923034667969
19,0.009258031845092773
