i,creation_time
0,0.016524076461791992
1,0.008707046508789062
2,0.007200002670288086
3,0.0070648193359375
4,0.007263898849487305
5,0.00819087028503418
6,0.007502079010009766
7,0.008327960968017578
8,0.007882833480834961
9,0.007144927978515625
10,0.008350849151611328
11,0.008009910583496094
12,0.008136987686157227
13,0.006957054138183594
14,0.006704092025756836
15,0.007318973541259766
16,0.008315086364746094
17,0.0071871280670166016
18,0.006783008575439453
19,0.008329153060913086
