i,timestamp,time_taken
0,1718721867056,0.040171146392822266
1,1718721867091,0.03513669967651367
2,1718721867125,0.03380870819091797
3,1718721867156,0.031159639358520508
4,1718721867191,0.03447914123535156
5,1718721867225,0.033978939056396484
6,1718721867260,0.034374237060546875
7,1718721867290,0.03050088882446289
8,1718721867322,0.03197216987609863
9,1718721867353,0.030601978302001953
10,1718721867383,0.030341625213623047
11,1718721867416,0.032111167907714844
12,1718721867446,0.02981734275817871
13,1718721867476,0.030631065368652344
14,1718721867508,0.031616926193237305
15,1718721867539,0.030438899993896484
16,1718721867571,0.032189369201660156
17,1718721867603,0.03189587593078613
18,1718721867634,0.03095722198486328
19,1718721867664,0.030042171478271484
20,1718721867693,0.029124975204467773
21,1718721867723,0.029906511306762695
22,1718721867754,0.03073573112487793
23,1718721867785,0.03056788444519043
24,1718721867815,0.029857158660888672
25,1718721867846,0.031074047088623047
26,1718721867876,0.03000473976135254
27,1718721867908,0.031191110610961914
28,1718721867937,0.029630661010742188
29,1718721867968,0.030756711959838867
30,1718721867999,0.03049945831298828
31,1718721868030,0.030791759490966797
32,1718721868062,0.032511234283447266
33,1718721868093,0.030223846435546875
34,1718721868124,0.030670642852783203
35,1718721868155,0.0313267707824707
36,1718721868185,0.030372142791748047
37,1718721868218,0.032607316970825195
38,1718721868247,0.02852463722229004
39,1718721868277,0.029738664627075195
40,1718721868307,0.0302581787109375
41,1718721868338,0.030964374542236328
42,1718721868369,0.03024601936340332
43,1718721868399,0.030500411987304688
44,1718721868428,0.028867483139038086
45,1718721868457,0.028626680374145508
46,1718721868488,0.030447721481323242
47,1718721868518,0.030056476593017578
48,1718721868545,0.02693939208984375
49,1718721868575,0.030126571655273438
50,1718721868608,0.03328227996826172
51,1718721868637,0.028476715087890625
52,1718721868666,0.02924036979675293
53,1718721868693,0.026558876037597656
54,1718721868722,0.02913522720336914
55,1718721868751,0.028421878814697266
56,1718721868777,0.026502609252929688
57,1718721868808,0.030966520309448242
58,1718721868836,0.02734065055847168
59,1718721868866,0.02984786033630371
60,1718721868897,0.030841827392578125
61,1718721868928,0.030931472778320312
62,1718721868961,0.03309822082519531
63,1718721868991,0.030008316040039062
64,1718721869021,0.03020954132080078
65,1718721869055,0.03334784507751465
66,1718721869084,0.02939462661743164
67,1718721869112,0.027689456939697266
68,1718721869139,0.02725076675415039
69,1718721869166,0.026447534561157227
70,1718721869194,0.028101682662963867
71,1718721869222,0.028136491775512695
72,1718721869249,0.02673172950744629
73,1718721869276,0.027015209197998047
74,1718721869304,0.02781820297241211
75,1718721869331,0.026612520217895508
76,1718721869358,0.027299880981445312
77,1718721869389,0.030368328094482422
78,1718721869417,0.02792978286743164
79,1718721869444,0.02742910385131836
80,1718721869472,0.02774357795715332
81,1718721869501,0.028981685638427734
82,1718721869531,0.029618263244628906
83,1718721869559,0.027828693389892578
84,1718721869588,0.028927326202392578
85,1718721869619,0.030580759048461914
86,1718721869649,0.030793428421020508
87,1718721869680,0.030095815658569336
88,1718721869711,0.030988454818725586
89,1718721869743,0.031661272048950195
90,1718721869772,0.029818296432495117
91,1718721869803,0.030518293380737305
92,1718721869833,0.03014373779296875
93,1718721869864,0.03047657012939453
94,1718721869896,0.03226447105407715
95,1718721869926,0.029866695404052734
96,1718721869956,0.029321670532226562
97,1718721869985,0.028923511505126953
98,1718721870014,0.029092073440551758
99,1718721870045,0.030468225479125977
100,1718721870076,0.030871152877807617
101,1718721870107,0.03127884864807129
102,1718721870138,0.031127452850341797
103,1718721870171,0.03221249580383301
104,1718721870205,0.03395414352416992
105,1718721870237,0.03212881088256836
106,1718721870273,0.03524899482727051
107,1718721870303,0.030029773712158203
108,1718721870335,0.03227424621582031
109,1718721870365,0.029762983322143555
110,1718721870398,0.03247523307800293
111,1718721870429,0.031381845474243164
112,1718721870460,0.030731201171875
113,1718721870491,0.03071284294128418
114,1718721870521,0.030202865600585938
115,1718721870552,0.031027793884277344
116,1718721870583,0.030857086181640625
117,1718721870616,0.03267216682434082
118,1718721870648,0.031615495681762695
119,1718721870678,0.03045201301574707
120,1718721870710,0.0314939022064209
121,1718721870740,0.029774904251098633
122,1718721870773,0.03258657455444336
123,1718721870804,0.031646728515625
124,1718721870836,0.031224966049194336
125,1718721870869,0.033158063888549805
126,1718721870902,0.03313302993774414
127,1718721870933,0.030892133712768555
128,1718721870965,0.03201031684875488
129,1718721870998,0.03227043151855469
130,1718721871028,0.03024888038635254
131,1718721871059,0.03090643882751465
132,1718721871092,0.032784461975097656
133,1718721871123,0.031065940856933594
134,1718721871156,0.03222298622131348
135,1718721871187,0.03145885467529297
136,1718721871217,0.029602766036987305
137,1718721871247,0.02976202964782715
138,1718721871278,0.03127098083496094
139,1718721871307,0.02883315086364746
140,1718721871339,0.0314638614654541
141,1718721871370,0.03165149688720703
142,1718721871400,0.02982187271118164
143,1718721871431,0.03074932098388672
144,1718721871464,0.03252530097961426
145,1718721871496,0.03216552734375
146,1718721871527,0.03119683265686035
147,1718721871559,0.03198075294494629
148,1718721871591,0.03112506866455078
149,1718721871622,0.030892133712768555
150,1718721871652,0.029916048049926758
151,1718721871684,0.03217029571533203
152,1718721871715,0.03076910972595215
153,1718721871746,0.030818939208984375
154,1718721871776,0.029742717742919922
155,1718721871807,0.031145811080932617
156,1718721871836,0.029343366622924805
157,1718721871867,0.030544042587280273
158,1718721871898,0.0312657356262207
159,1718721871930,0.031624555587768555
160,1718721871963,0.03280496597290039
161,1718721871994,0.03054499626159668
162,1718721872025,0.03136253356933594
163,1718721872056,0.030497312545776367
164,1718721872088,0.03181195259094238
165,1718721872119,0.030998945236206055
166,1718721872151,0.03177928924560547
167,1718721872182,0.03145194053649902
168,1718721872214,0.031241655349731445
169,1718721872247,0.033277273178100586
170,1718721872279,0.03163647651672363
171,1718721872310,0.03098297119140625
172,1718721872344,0.03400564193725586
