test_n,time
1,0.34319019317626953
2,0.3202180862426758
3,0.34892916679382324
4,0.32029128074645996
5,0.33197736740112305
6,0.3446805477142334
7,0.32942628860473633
8,0.33811378479003906
9,0.3462257385253906
10,0.3382861614227295
11,0.33603358268737793
12,0.31496143341064453
13,0.3240525722503662
14,0.48910999298095703
15,0.3217966556549072
