test_n,time
1,0.3426527976989746
2,0.4215731620788574
3,0.4195842742919922
4,0.4144895076751709
5,0.3449699878692627
6,0.39591073989868164
7,0.44605398178100586
8,0.3357512950897217
9,0.4188876152038574
10,0.4107329845428467
11,0.41106700897216797
12,0.4213879108428955
13,0.31087183952331543
