i,creation_time,retrieval_time
0,0.023210763931274414,0.0043447017669677734
0,0.014473438262939453,0.004212379455566406
0,0.013449430465698242,0.004207611083984375
0,0.013139724731445312,0.004181861877441406
0,0.012686491012573242,0.0047550201416015625
0,0.013332128524780273,0.004368782043457031
0,0.01308441162109375,0.004099845886230469
0,0.013904571533203125,0.004316806793212891
0,0.014017820358276367,0.004201173782348633
0,0.013004064559936523,0.004280805587768555
0,0.012344598770141602,0.004092693328857422
0,0.012450456619262695,0.0041310787200927734
0,0.012292146682739258,0.00457310676574707
0,0.012585639953613281,0.0038094520568847656
0,0.013028860092163086,0.005257129669189453
0,0.01423788070678711,0.004767656326293945
0,0.014391660690307617,0.005443096160888672
0,0.01406407356262207,0.00630497932434082
0,0.014398813247680664,0.005755901336669922
0,0.014009237289428711,0.006799936294555664
0,0.01488041877746582,0.005833148956298828
0,0.015299081802368164,0.006479978561401367
0,0.015613555908203125,0.0062408447265625
0,0.014954328536987305,0.005750179290771484
0,0.014564752578735352,0.006356954574584961
0,0.014229536056518555,0.005568027496337891
0,0.01440882682800293,0.005676984786987305
0,0.01566290855407715,0.005776166915893555
0,0.014538049697875977,0.005779266357421875
0,0.014293670654296875,0.0057468414306640625
0,0.01422429084777832,0.0057260990142822266
0,0.013900279998779297,0.00608372688293457
0,0.014040231704711914,0.00577545166015625
0,0.015318870544433594,0.006139039993286133
0,0.014081954956054688,0.0058329105377197266
0,0.01458740234375,0.005737781524658203
0,0.014116525650024414,0.0057604312896728516
0,0.01395106315612793,0.0060749053955078125
0,0.013947248458862305,0.005848407745361328
0,0.01405024528503418,0.005692720413208008
0,0.015152454376220703,0.005994081497192383
0,0.014898061752319336,0.0057888031005859375
0,0.015097856521606445,0.005793094635009766
0,0.014367103576660156,0.006458282470703125
0,0.014331817626953125,0.00577235221862793
0,0.014219284057617188,0.005667209625244141
0,0.014061927795410156,0.005762815475463867
0,0.014392375946044922,0.005763053894042969
0,0.01510930061340332,0.0056345462799072266
0,0.014327526092529297,0.005778789520263672
0,0.014015913009643555,0.00574946403503418
0,0.013913631439208984,0.005627870559692383
0,0.01494741439819336,0.005648136138916016
0,0.014370918273925781,0.005590915679931641
0,0.014035463333129883,0.005680561065673828
0,0.014420270919799805,0.005690574645996094
0,0.015423059463500977,0.0049953460693359375
0,0.012881040573120117,0.004781961441040039
0,0.012892723083496094,0.004632234573364258
0,0.013509035110473633,0.005267143249511719
0,0.013397455215454102,0.004727602005004883
