i,time_taken
0,0.00966191291809082
1,0.011017084121704102
2,0.008973121643066406
3,0.02956104278564453
4,0.006559848785400391
5,0.009998083114624023
6,0.010802984237670898
7,0.008081912994384766
8,0.008901834487915039
9,0.01662588119506836
10,0.009324073791503906
11,0.010065078735351562
12,0.007905006408691406
13,0.014320135116577148
14,0.009891271591186523
15,0.010747194290161133
16,0.009439229965209961
17,0.01248311996459961
18,0.011941909790039062
19,0.01032400131225586
20,0.010246753692626953
21,0.012990236282348633
22,0.010155916213989258
23,0.009261131286621094
24,0.010639190673828125
25,0.006114006042480469
26,0.010420083999633789
27,0.022354841232299805
28,0.00839090347290039
29,0.009145021438598633
30,0.008148908615112305
31,0.008275985717773438
32,0.011300802230834961
33,0.010769128799438477
34,0.00840902328491211
35,0.012099027633666992
36,0.007612943649291992
37,0.00655674934387207
38,0.019445180892944336
39,0.010488033294677734
40,0.02242898941040039
41,0.008404016494750977
42,0.009819984436035156
43,0.009202241897583008
44,0.009443998336791992
45,0.010225057601928711
46,0.019134998321533203
47,0.010265111923217773
48,0.008168935775756836
49,0.010637044906616211
50,0.009572029113769531
51,0.009356021881103516
52,0.00964808464050293
53,0.011404037475585938
54,0.008951902389526367
55,0.008656740188598633
56,0.009245872497558594
57,0.010803937911987305
58,0.008819818496704102
59,0.020878076553344727
60,0.010958194732666016
61,0.005877971649169922
62,0.01147603988647461
63,0.007328033447265625
64,0.010874271392822266
65,0.009640932083129883
66,0.020677804946899414
67,0.010320901870727539
68,0.01092076301574707
69,0.009348869323730469
70,0.009752035140991211
71,0.008460044860839844
72,0.012379884719848633
73,0.015820980072021484
74,0.008917093276977539
75,0.010498046875
76,0.010477066040039062
77,0.008718013763427734
78,0.011532783508300781
79,0.020339012145996094
80,0.012109994888305664
81,0.008790016174316406
82,0.009324073791503906
83,0.010502099990844727
84,0.009871244430541992
85,0.020652055740356445
86,0.010711908340454102
87,0.009511947631835938
88,0.011464118957519531
89,0.009212017059326172
90,0.011494874954223633
91,0.008358001708984375
92,0.01591801643371582
93,0.00673985481262207
94,0.010759830474853516
95,0.01460409164428711
96,0.010311126708984375
97,0.00861501693725586
98,0.00888681411743164
99,0.006383180618286133
100,0.00904989242553711
101,0.009310007095336914
102,0.009226083755493164
103,0.011976242065429688
104,0.007867813110351562
105,0.009115934371948242
106,0.010273933410644531
107,0.008064746856689453
108,0.008260965347290039
109,0.0076160430908203125
110,0.005705833435058594
111,0.016340970993041992
112,0.005819797515869141
113,0.009799003601074219
114,0.010478973388671875
115,0.009015083312988281
116,0.007863998413085938
117,0.010606050491333008
118,0.008916139602661133
119,0.013348102569580078
120,0.012959957122802734
121,0.010902166366577148
122,0.010769844055175781
123,0.006979942321777344
124,0.013072967529296875
125,0.007863044738769531
126,0.008483171463012695
127,0.009408235549926758
128,0.009502172470092773
129,0.00877690315246582
130,0.010987043380737305
131,0.011912822723388672
132,0.006059885025024414
133,0.009853839874267578
134,0.01059722900390625
135,0.009324073791503906
136,0.01125788688659668
137,0.008304834365844727
138,0.022613048553466797
139,0.00960397720336914
140,0.009168148040771484
141,0.010007619857788086
142,0.011555671691894531
143,0.008987903594970703
144,0.015543222427368164
145,0.009081125259399414
146,0.005522966384887695
147,0.006094217300415039
148,0.00899195671081543
149,0.005691051483154297
150,0.0076141357421875
151,0.009876012802124023
152,0.009253978729248047
153,0.0103912353515625
154,0.012217998504638672
155,0.006192207336425781
156,0.00839090347290039
157,0.010209083557128906
158,0.01080775260925293
159,0.009692907333374023
160,0.008668184280395508
161,0.009847164154052734
162,0.011635065078735352
163,0.008268117904663086
164,0.010545730590820312
165,0.021067142486572266
166,0.009403228759765625
167,0.010593891143798828
168,0.010966777801513672
169,0.010018110275268555
170,0.012038230895996094
171,0.005825042724609375
172,0.01972675323486328
173,0.01084280014038086
174,0.009158849716186523
175,0.009127140045166016
176,0.008588075637817383
177,0.009770870208740234
178,0.007706165313720703
179,0.008697032928466797
180,0.008134841918945312
181,0.008842945098876953
182,0.011328935623168945
183,0.01166391372680664
184,0.008980989456176758
185,0.0167081356048584
186,0.007701873779296875
187,0.025695085525512695
188,0.012251138687133789
189,0.01236414909362793
190,0.008156776428222656
191,0.0059740543365478516
192,0.016000986099243164
193,0.01411890983581543
194,0.006711006164550781
195,0.01169896125793457
196,0.009735822677612305
197,0.008321046829223633
198,0.010136127471923828
